
NomePersonaggio | Modello | Hash | Descrizione | Fazione | PowerType
---------------|---------|------|-------------|---------|----------
Punisher | s_m_y_airworker | 0x62018559 | Air Worker Male | Hero | punisher
Taskmaster | g_m_y_korlieut_01 | 0x7CCBE17A | Korean Lieutenant | Villain | taskmaster
Venom | s_m_y_construct_01 | 0xD7DA9E99 | construction Worker | Villain | venom
WMmk2 | a_m_y_juggalo_01 | 0x91CA3E2C | Juggalo Male | Hero | warmachine
LOBO | a_m_y_vinewood_04 | 0x31C9E669 | Vinewood Male 4 | Villain | lobo
wanda | g_m_y_pologoon_02_p | 0x59279E8B | Polynesian Goon 2 | Hero | scarletwitch
Shuri | s_m_y_prisoner_01 | 0xB1BB9B59 | Prisoner | Hero | shuri
Victor_Zsasz | s_m_y_blackops_01 | 0xB3F3EE34 | Black Ops Soldier | Villain | zsasz
SolomonG | a_m_y_skater_01 | 0xC1C46677 | Skater Young Male | Villain | grundy
prowler | a_m_y_business_01 | 0xC99F21C4 | Business Young Male | Villain | prowler
venom_tas | s_m_y_hwaycop_01 | 0x739B1EF5 | Highway Cop | Villain | venom
Spawn | s_m_y_prismuscl_01 | 0x5F2113A1 | Prisoner (Muscular) | Hero | spawn
wscapamerica(nohelm) | s_m_y_strvend_01 | 0x927F2323 | Street Vendor Young | Hero | captain
Thor_IW | a_m_y_business_03 | 0xA1435105 | Business Young Male 3 | Hero | thor
BlackWidow_TeamSuit | g_m_y_famfor_01 | 0x84302B09 | Families FOR Male | Hero | blackwidow
KravenTH | a_m_y_hipster_02 | 0x14D506EE | Hipster Male 2 | Villain | kraven
docstm | a_m_y_clubcust_02 | 0xC62F4D32 | Club Customer | Villain | doctoroctopus
scarlet_witch | a_m_y_surfer_01 | 0xEAC2C7EE | Surfer | Hero | scarletwitch
ThorAETeamSuit | s_m_y_mime | 0x3CDCA742 | Mime Artist | Hero | thor
Cable_XForce | a_m_y_beachvesp_02 | 0xCA56FA52 | Vespucci Beach Male 2 | Hero | cable
Scorpion_Injustice | g_m_y_lost_03 | 0x32B11CDC | The Lost MC Male 3 | Villain | scorpion
CrossBones | g_m_y_mexgoon_03 | 0x964D12DC | Mexican Goon 3 | Villain | crossbones
Mysterio_FFH | a_f_y_eastsa_01 | 0xF5B0079D | East SA Young Female | Villain | mysterio
redskull | a_m_y_clubcust_03 | 0xD4F5EABF | Club Customer | Villain | redskull
Blackwidow_AE | s_m_y_waretech_01 | 0x48C7A430 | Warehouse Technician | Hero | blackwidow
Ultron | a_f_y_vinewood_01 | 0x19F41F65 | Vinewood Female | Villain | ultron
HulkbusterIW | a_f_y_tourist_01 | 0x563B8570 | Tourist Young Female | Hero | hulkbuster
lukecage | a_m_y_hipster_01 | 0x2307A353 | Hipster Male | Hero | lukecage
Daredevil(Netflix)brighterred | a_f_y_clubcust_02 | 0x154E3679 | Club Customer | Hero | daredevil
johnnystar | a_f_y_clubcust_03 | 0x00A40D25 | Club Customer | Hero | johnnystar
loki_tr | a_f_y_golfer_01 | 0x7DD8FB58 | Golfer Young Female | Villain | loki
BlueBV | a_m_y_beachvesp_01 | 0x7E0961B8 | Vespucci Beach Male | Hero | beetle
Joker(BAC) | a_m_y_business_02 | 0xB3B3F5E6 | Business Young Male 2 | Villain | joker
Carnage(MH) | a_m_y_stwhi_01 | 0x2418C430 | White Street Male | Villain | carnage
capamerica(helm) | a_m_y_busicas_01 | 0x9AD32FE9 | Business Casual | Hero | captain
BlackPanther | s_m_y_factory_01 | 0x4163A158 | Factory Worker Male | Hero | blackpanther
capamerica(nohelm) | g_m_y_salvagoon_01 | 0x278C8CB7 | Salvadoran Goon | Hero | captain
bane | a_f_y_skater_01 | 0x695FE666 | Skater Female | Villain | bane
FlashUpgradedInjustice2 | a_m_y_musclbeac_02 | 0xC923247C | Beach Muscle Male 2 | Hero | flash
JokerThug2 | a_m_y_dhill_01 | 0xFF3E88AB | Downhill Cyclist | Villain | thug
WarMachinemk3 | g_m_y_korean_01 | 0x247502A9 | Korean Young Male | Hero | warmachine
HulkBusterMFF | a_m_y_yoga_01 | 0xAB0A7155 | Yoga Male | Hero | hulkbuster
Deadpool | s_m_y_ammucity_01 | 0x9E08633D | Ammu-Nation City Clerk | Neutral | deadpool
Kingpin | g_m_y_mexgoon_03_p | 0x3A9C818D | Mexican Goon 3 | Villain | kingpin
cyclops90 | a_m_y_motox_02 | 0x77AC8FDA | Motocross Biker 2 | Hero | cyclops
Hawkeye Avengers | a_m_y_gay_01 | 0xD1CCE036 | Gay Male | Hero | hawkeye
cable(deadpoolgame) | s_m_y_dealer_01 | 0xE497BBEF | Dealer | Hero | cable
BlackCat | a_f_y_hippie_01 | 0x1475B827 | Hippie Female | Neutral | blackcat
JeanGreyMFF | a_f_y_tourist_02 | 0x9123FB40 | Tourist Young Female 2 | Hero | phoenix
CWFalcon | a_m_y_ktown_01 | 0x1AF6542C | Korean Young Male | Hero | falcon
Carnage(CletusKasady) | a_f_y_bevhills_03 | 0x20C8012F | Beverly Hills Young Female 3 | Villain | carnage
FlashEliteInjustice2 | g_m_y_pologoon_01_p | 0x925F7838 | Polynesian Goon | Hero | flash
FlashInjustice2 | a_m_y_beach_02 | 0x23C7DC11 | Beach Young Male 2 | Hero | flash
Teth_Adam | a_m_y_sunbathe_01 | 0xB7292F0C | Sunbather Male | Villain | blackadam
Poison-Ivy | a_m_y_vinewood_03 | 0x1FDF4294 | Vinewood Male 3 | Villain | poisonivy
Hulk(Avengers) | a_f_y_vinewood_02 | 0xDAB6A0EB | Vinewood Female 2 | Hero | hulk
Ronin | a_f_y_bevhills_02 | 0x5C2CF7F8 | Beverly Hills Young Female 2 | Hero | ronin
GRobbie | a_m_y_soucent_02 | 0xACA3C8CA | South Central Young Male 2 | Villain | ghostrider
AC_Victor_Zsasz | a_f_y_runner_01 | 0xC7496729 | Jogger Female | Villain | zsasz
wscapamerica(helm) | a_f_y_fitness_01 | 0x457C64FB | Fitness Female | Hero | captain
SpiderMan | a_m_y_hipster_03 | 0x4E4179C6 | Hipster Male 3 | Hero | spiderman
Grootz | a_m_y_clubcust_01 | 0xA7B71042 | Club Customer | Hero | groot
